dealerid,leadstatustypename,LeadTypeName,LeadTypeID,CustomerCreatedUTC,LeadCreatedUTC,leadsourcename,SalesPersonFirstName,SalesPersonLastName,firstname,lastname,middlename,email,emailalt,VehicleYear,VehicleMake,VehicleModel,VehicleVIN,VehicleStockNumber,SoldDateUTC,DoNotCall,DoNotEmail,DoNotMail
4282,Lost,Internet,1.0,10/7/10 8:40,11/5/16 16:35,Truecar/Liberty Mutual,Norma Fisher,Ramey,Jorge Sullivan,Bessler,,juancampos@faulkner-howard.com,vanessa89@faulkner-howard.com,2014.0,Honda,CR-V,5J6RM4H36EL003129,1H836-1,,False,True,False
4282,Lost,Internet,1.0,2/11/11 0:00,6/5/12 21:38,Auto Alert,Emily Blair,Alhado,Melinda Kennedy,Keav,,tammywoods@gomez.org,tammywoods@gomez.org,2012.0,Honda,Accord,,,,False,False,False
4282,Sold,Phone,3.0,8/22/10 10:02,4/10/19 20:52,Repeat Customer,Emily Blair,Alhado,Debbie Trujillo,Sequeira,,vclayton@moon.com,vclayton@moon.com,2019.0,Honda,Pilot,5FNYF6H54KB072652,9H740,4/30/19 15:19,False,True,False
4282,Active,Walk-in,2.0,11/30/10 16:22,4/6/24 20:38,Repeat Customer,Frederick Harrell,LeDuc,Keith Allen,Cahill,R,lindawest@gomez.org,,2024.0,Honda,Civic Sedan,2HGFE2F2XRH570632,4H1165,,False,True,False
4282,Sold,Internet,1.0,6/24/11 16:49,6/7/20 16:36,Dealer Inspire,Francisco Romero,Pena,Ashley Arnold,Candelaria,Nereida,sean96@martinez.com,antoniozavala@johnston-roberts.com,2020.0,Honda,Accord,1HGCV1F37LA083965,0H780,6/8/20 20:43,False,True,False
4282,Sold,Internet,1.0,6/24/11 17:21,4/3/24 1:54,Edmunds,Benjamin Shelton,Moronta,Chase Johnson,Turgeon,,aimee33@villanueva.biz,,2024.0,Honda,CR-V,2HKRS4H43RH477098,4H1157,4/16/24 19:59,False,False,False
4282,Lost,Internet,1.0,6/24/11 17:26,1/27/24 20:21,Ready Automotive Marketing,Leslie Herring,Vaz,Joanne Keller,Bello,,tuckercrystal@stark.org,thorntonnathan@sanchez.com,,,,,,,False,False,False
4282,Sold,Internet,1.0,6/24/11 17:32,4/6/24 0:49,EDMUNDS TRADE IN,Francisco Romero,Pena,Jeffery Brown,Troianello,Marie,johnsoncynthia@wyatt.com,johnsoncynthia@wyatt.com,2024.0,Honda,HR-V,3CZRZ2H37RM758722,4H805,4/10/24 20:28,False,True,False
4282,Sold,Import,4.0,6/24/11 17:56,3/13/10 0:00,DMS Sales,Francisco Romero,Pena,Laura Myers,Vergados,,martha10@faulkner-howard.com,,2010.0,Honda,Civic,2HGFG1B62AH519613,0H571,3/13/10 5:00,False,False,False
4282,Sold,Internet,1.0,6/24/11 18:11,2/21/14 20:17,Mailer,Francisco Romero,Pena,Chloe Arellano,Albarico,Maurillo,mendozajessica@gomez.org,,2014.0,Honda,Pilot,5FNYF4H50EB022551,4H605S,2/28/14 5:00,False,False,False
4282,Sold,Walk-in,2.0,6/24/11 18:13,10/22/23 17:09,Repeat Customer,Frederick Harrell,Desrochers,Michael Stephens,Bettencourt,L,huffchad@johnston-roberts.com,lucasmichael@johnston-roberts.com,2024.0,Honda,HR-V,3CZRZ2H39RM718397,4H108,10/22/23 19:27,False,True,False
4282,Sold,Phone,3.0,6/24/11 18:17,3/22/21 16:35,Location,Jonathan Williams,Holder,William Gonzalez,Delaney,Gould,,,2021.0,Honda,HR-V,3CZRU6H78MM722085,1H490,3/23/21 23:16,False,True,False
4282,Sold,Walk-in,2.0,6/24/11 18:22,12/29/21 14:32,Repeat Customer,Frederick Harrell,LeDuc,Nicholas Massey,Kwon,Y,heidiharris@faulkner-howard.com,,2022.0,Honda,Civic,2HGFE2F50NH555206,2H330,12/29/21 16:07,False,False,False
4282,Sold,Internet,1.0,6/24/11 18:25,4/3/24 16:45,Repeat Customer,Frederick Harrell,LeDuc,Rachel Moore,Asselin,D,matthewking@gomez.org,,2025.0,Honda,Pilot,5FNYG1H74SB001761,5H002S,4/7/24 21:08,False,False,False
4282,Active,Phone,3.0,6/29/11 21:12,4/6/24 15:43,Atamian Honda Website,Jessica Thompson,Ferreira,Jason Carroll,Funaro,,deborah64@faulkner-howard.com,,2021.0,Honda,Passport,5FNYF8H50MB021390,4H1055-1,,False,True,False
4282,,,,6/29/11 21:29,,,Michael Ellis,Genao,Patrick Stephens,Schmidt,,johnbenton@wyatt.com,johnbenton@wyatt.com,,,,,,,False,True,False
4282,Sold,Phone,3.0,6/30/11 3:05,4/8/24 21:52,Service Drive,Jessica Thompson,Ferreira,Dwayne Howard,Ha,,jenniferhughes@johnston-roberts.com,hollymoore@poole-miller.org,2024.0,Honda,Civic,2HGFE2F28RH571164,4H1169,4/9/24 14:34,False,False,False
4282,Sold,Walk-in,2.0,6/30/11 4:21,10/4/23 22:23,Service,Jerome Page,Matevosyan,Shelly Johnson,Palacio,Alexander,tbarton@moon.com,,2020.0,Honda,CR-V,2HKRW2H86LH683003,3H1010-1,10/4/23 23:15,False,False,False
4282,Sold,Internet,1.0,6/30/11 10:40,3/28/24 11:20,Truecar/Aaa,Jerome Page,Matevosyan,Frederick Harrell,Lantagne,Allan,martincaleb@gomez.org,,2024.0,Honda,CR-V Hybrid,7FARS6H82RE065983,4H1023,3/29/24 16:02,False,False,False
4282,Sold,Phone,3.0,1/18/12 16:28,9/3/20 20:51,Service,Jonathan Williams,Holder,Jill Dyer,Ngigi,,hensontroy@johnston-roberts.com,hensontroy@johnston-roberts.com,2020.0,Honda,HR-V,3CZRU6H14LM721056,0H676,9/10/20 0:04,False,True,False
4282,Lost,Internet,1.0,4/24/12 13:43,3/27/24 17:31,"Carfax, Inc",John Lamb,Perez,Dwayne Howard,Jackson,,olopez@johnston-roberts.com,,2023.0,Mazda,,,,,False,False,False
4282,Sold,Walk-in,2.0,6/11/12 19:09,4/6/21 21:21,Repeat Customer,John Lamb,Perez,Sara Anderson,Akashian,W,moraleserika@johnston-roberts.com,,2021.0,Honda,CR-V,7FARW2H86ME001368,1H295,4/6/21 22:17,False,False,False
4282,Sold,Phone,3.0,7/5/12 20:18,5/24/21 21:13,20% mailer,Jonathan Williams,Holder,Daniel Love,Burns-Bennett,S,bairdemma@gomez.org,,2021.0,Honda,CR-V,2HKRW2H56MH642510,1H777,5/26/21 16:19,False,False,False
4282,Sold,Walk-in,2.0,11/4/12 18:53,4/5/24 15:26,Location,John Lamb,Perez,Cheryl Franklin,Fidalgo,Ann,morganramirez@wyatt.com,,2024.0,Honda,CR-V Hybrid,2HKRS6H87RH804049,4H739,4/5/24 17:32,False,False,False
4282,,,,11/23/12 0:50,,,Jessica Thompson,Ferreira,Ariel Nash,Ferreira,,bburton@moon.com,,,,,,,,False,True,False
4282,Sold,Phone,3.0,3/5/13 2:37,4/5/24 13:50,Service Drive,Benjamin Shelton,Moronta,Jesse Sparks,Cronin,,dennis85@johnston-roberts.com,,2024.0,Honda,HR-V,3CZRZ2H79RM764556,4H930,4/10/24 20:23,False,False,False
4282,Sold,Internet,1.0,5/31/13 14:25,12/22/17 5:05,Dealer Inspire,Norma Fisher,Ramey,Christopher York,Dlugove,R,williamserin@moon.com,williamserin@moon.com,2018.0,Honda,Accord,1HGCV1F10JA044520,8H238,12/23/17 18:42,False,True,False
4282,,,,6/6/13 14:44,,,Theresa Mays,Marinos,Amanda Curry,Braxten,,iwatson@lawson.info,iwatson@lawson.info,,,,,,,False,False,False
4282,Lost,Phone,3.0,7/18/13 16:05,4/2/12 16:44,Sales,Emily Blair,Alhado,James Carter,Serrano,,edwardcook@johnston-roberts.com,,2012.0,Honda,Accord,1HGCP2F31CA132089,2H1079,,False,False,False
4282,Sold,Phone,3.0,7/28/13 17:24,5/31/22 22:27,Service Drive,Frederick Harrell,LeDuc,Michelle Morgan,Harkin,,williamsfrank@johnston-roberts.com,michael82@gomez.org,2022.0,Honda,CR-V Hybrid,5J6RT6H85NL044734,2H1012,8/2/22 22:23,False,False,False
4282,Active,Walk-in,2.0,8/13/13 16:38,4/6/24 18:08,Location,Jessica Thompson,Ferreira,John Allen,Vozzella,Charles,parkermelody@wyatt.com,parkermelody@wyatt.com,2024.0,Honda,Passport,5FNYF8H67RB011018,4H1042,,False,False,False
