dealerid,leadstatustypename,LeadTypeName,LeadTypeID,CustomerCreatedUTC,LeadCreatedUTC,leadsourcename,SalesPersonFirstName,SalesPersonLastName,firstname,lastname,middlename,email,emailalt,VehicleYear,VehicleMake,VehicleModel,VehicleVIN,VehicleStockNumber,SoldDateUTC,DoNotCall,DoNotEmail,DoNotMail
4282,Active,Internet,1,9/5/10 0:00,4/17/24 15:40,Capital One,Leslie Herring,Vaz,Andre Lang,Heurtelou,,boydamanda@johnston-roberts.com,,2017,Honda,Accord Sedan,1HGCR2F3XHA199954,4H568-3,,FALSE,FALSE,FALSE
4282,Sold,Walk-in,2,6/10/10 0:00,8/25/14 21:56,Mailer,Francisco Romero,Pena,Jonathan Martin,Yong,,john17@gomez.org,,2014,Honda,Pilot,5FNYF4H94EB041994,4H980S,8/25/14 4:00,FALSE,TRUE,FALSE
4282,Sold,Import,4,6/24/11 17:03,4/6/09 0:00,DMS Sales,Francisco Romero,Pena,Brandon Mccarthy,Parent,Ann,hollandpatricia@moreno.com,hollandpatricia@moreno.com,2008,Honda,Odyssey,5FNRL38688B100949,JC3229,4/6/09 4:00,FALSE,TRUE,FALSE
4282,Active,Phone,3,6/24/11 17:12,2/21/24 19:45,Lease End Conquest,Michael Ellis,Genao,Barry Reyes,Cielakie,Lee,vanessa05@gomez.org,lchandler@gomez.org,2024,Honda,Passport,5FNYF8H69RB009495,4H951,,FALSE,FALSE,FALSE
4282,Sold,Import,4,6/24/11 17:40,11/9/10 0:00,DMS Sales,Norma Fisher,Ramey,Mark Morgan,Mcqueen,,cynthiadavis@wyatt.com,,2011,Honda,CR-V,JHLRE4H54BC000524,1H126,11/9/10 5:00,FALSE,FALSE,FALSE
4282,Sold,Import,4,6/24/11 18:22,8/23/08 0:00,DMS Sales,Theresa Mays,Marinos,Ashley James,Kumar,,ujones@gomez.org,,2008,Honda,Accord,1HGCP26388A163508,8H1354,8/23/08 4:00,FALSE,FALSE,FALSE
4282,Sold,Walk-in,2,6/24/11 18:53,5/21/17 20:25,Service,Frederick Harrell,LeDuc,Vickie Stewart,Tam,,mwagner@stark.org,,2017,Honda,CR-V,5J6RW2H53HL041387,7H1071,5/21/17 16:57,FALSE,FALSE,FALSE
4282,Active,Internet,1,6/29/11 21:00,4/15/24 14:17,Thirdparty Honda -,Frederick Harrell,Desrochers,Curtis Murphy,Niemi,A,tannerjacob@wyatt.com,,2024,Honda,CR-V,2HKRS4H23RH471543,4H1071,,FALSE,FALSE,FALSE
4282,Sold,Walk-in,2,6/29/11 21:24,10/15/20 14:24,Service,John Lamb,Perez,Kathleen Saunders,Sevigny,M,oneilljoseph@johnston-roberts.com,jeffrey89@wyatt.com,2020,Honda,HR-V,3CZRU6H34LM725500,0H910,10/15/20 15:50,FALSE,TRUE,FALSE
4282,Bad,Internet,1,7/16/11 14:01,4/23/24 17:48,Dealer Inspire - Website,Suzanne Thomas,Espinosa,Kaitlin Gregory,Spence,,,,,,,,,,FALSE,FALSE,FALSE
4282,Sold,Internet,1,10/5/11 18:57,5/28/18 20:36,Truecar/Nea,Frederick Harrell,Desrochers,John Smith,Sheridan,,henrynicholas@gomez.org,,2018,Honda,CR-V,7FARW2H51JE011839,8H413,5/31/18 15:09,FALSE,FALSE,FALSE
4282,Sold,Walk-in,2,1/5/12 3:55,4/16/24 18:51,Repeat Customer,Frederick Harrell,LeDuc,Theresa Mays,DeGregorio,F,fmacias@moon.com,,2024,Honda,Accord Sedan,1HGCY1F3XRA001565,4H541L-1,4/16/24 20:59,FALSE,FALSE,FALSE
4282,Lost,Phone,3,2/7/12 0:07,12/8/20 16:08,Repeat Customer,Francisco Romero,Pena,Steven Henderson,Wheaton,T,uanderson@faulkner-howard.com,rachael29@faulkner-howard.com,2020,Honda,Accord Sedan,1HGCV1F18LA128202,AZ6306,,FALSE,TRUE,FALSE
4282,Sold,Walk-in,2,2/26/12 17:08,11/10/23 15:18,Service Drive,John Lamb,Perez,James Phillips,Hauswirth,W,lorettamack@faulkner-howard.com,,2023,Honda,Ridgeline,5FPYK3F53PB054316,3H1026,11/10/23 16:46,FALSE,FALSE,FALSE
4282,Bad,Phone,3,3/21/12 17:45,1/6/14 17:12,Repeat Customer,Francisco Romero,Pena,Stephen Hardy,Willoughby,A,kentandre@gomez.org,,2011,Honda,CR-V,,,,FALSE,FALSE,FALSE
4282,Active,Phone,3,10/14/12 15:25,4/10/24 18:46,Service Drive,Leslie Herring,Vaz,Mary Armstrong,Ashford,,webereric@gomez.org,,,,,,,,FALSE,FALSE,FALSE
4282,Sold,Internet,1,12/15/12 18:37,11/4/23 12:47,Capital One,Emily Blair,Alhado,Jill Daniels,Wyatt,,nataliemoss@reyes.com,jsummers@johnston-roberts.com,2024,Honda,CR-V Hybrid,5J6RS6H87RL016457,4H364,11/4/23 15:45,FALSE,FALSE,FALSE
4282,Sold,Internet,1,6/28/13 17:18,1/27/16 17:16,Truecar/Employee Buying Program,Jeremy Wood,Torra,Brad Garcia,Lafleur,C,cynthiawilliams@moon.com,fthompson@rodriguez.com,2016,Honda,Accord,1HGCR3F80GA004847,6H160,2/8/16 5:00,FALSE,FALSE,FALSE
4282,Active,Internet,1,8/4/13 23:36,4/12/24 21:30,EDMUNDS TRADE IN,Leslie Herring,Vaz,Andrew Lowery,Linskey,,lisa53@gomez.org,lisa53@gomez.org,2022,Honda,HR-V,3CZRU6H33NM741643,AZ6324,,FALSE,TRUE,FALSE
4282,Sold,Internet,1,9/2/13 19:47,11/21/22 11:37,Truecar/Consumer Reports,Michael Ellis,Genao,Megan Hall,Farmer,Ann,bberry@johnston-roberts.com,iyoder@faulkner-howard.com,2023,Honda,CR-V,7FARS4H72PE004769,3H139,12/1/22 17:55,FALSE,FALSE,FALSE
4282,Sold,Internet,1,11/9/13 18:16,4/13/24 20:45,Hds Program Lead - Get E-Price,Frederick Harrell,LeDuc,Michael Stephens,Agcaoili,P,ogarcia@faulkner-howard.com,ehiggins@kim-johnson.com,2024,Honda,CR-V Hybrid,7FARS6H99RE066153,4H1164S,4/14/24 19:52,FALSE,FALSE,FALSE
4282,Sold,Internet,1,12/28/13 2:08,2/9/21 22:19,BlackBookOnline,Frederick Harrell,LeDuc,Justin Parsons,Faust,D,marcrobinson@brown-perez.biz,diazshelley@brown-perez.biz,2018,Honda,CR-V,7FARW2H55JE012525,1H351-1,3/8/21 18:17,FALSE,FALSE,FALSE
4282,,,,4/7/14 18:53,,,Benjamin Shelton,Moronta,Ashley Ferguson,Ivan,,,,,,,,,,FALSE,FALSE,FALSE
4282,Sold,Phone,3,10/11/14 14:33,10/11/14 14:33,Dhl Honda Buyback Mailer,Norma Fisher,Ramey,Robert Hubbard,Carron,,samuel69@johnston-roberts.com,samuel69@johnston-roberts.com,2014,Honda,Civic,2HGFB2F88EH560365,4H1555,10/14/14 4:00,FALSE,TRUE,FALSE
4282,,,,10/19/14 20:32,,,Frederick Harrell,LeDuc,Charles Nichols,Diep,,wjohnson@gomez.org,,,,,,,,FALSE,TRUE,FALSE
4282,Sold,Internet,1,12/6/14 23:56,12/6/14 23:56,Truecar/Employee Buying Program,Benjamin Shelton,Moronta,Amanda Horn,Lopez,,jesse78@johnston-roberts.com,jesse78@johnston-roberts.com,2015,Honda,CR-V,2HKRM4H5XFH605321,5H333,12/7/14 5:00,FALSE,FALSE,FALSE
4282,,,,2/20/15 14:12,,,Jonathan Williams,Holder,Kevin Diaz,Yun,,nicoleyoung@johnston-roberts.com,qflores@wyatt.com,,,,,,,FALSE,FALSE,FALSE
4282,Bad,Walk-in,2,5/17/15 20:17,4/15/24 21:54,Location,Emily Blair,Alhado,Jessica Thompson,Duran,,sanchezsandra@villanueva.biz,,,,,,,,FALSE,FALSE,FALSE
4282,,,,6/25/15 22:19,,,Jessica Thompson,Ferreira,Jeremy Wood,Vaine,,cameron39@johnston-roberts.com,,,,,,,,FALSE,FALSE,FALSE
4282,Sold,Internet,1,6/29/15 1:10,11/3/22 21:30,Hds Program Lead - Get E-Price,Francisco Romero,Pena,Tanya Fleming,Kamens,Ann,jacob51@wyatt.com,,2023,Honda,Ridgeline,5FPYK3F77PB006173,3H064,11/3/22 23:55,FALSE,FALSE,FALSE
